,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,REE
RJ-D9-13,53.97917493,35.10349968,14.63433763,53.53506951,6.24082909,0.396133149,2.99274769,0.333259276,1.565481734,0.289838158,0.857912531,0.109389658,0.646496532,0.091728136,7.587729986,178.3636277
RJ-D14-19,43.72698714,99.68536543,23.90232069,25.72466197,92.74424147,10.9538307,0.590746186,4.280886483,0.440504795,1.824687626,0.314311807,0.886879217,0.104180125,0.613607107,8.24988533,314.0430961
RJ-D6-12,37.95012428,24.57846609,10.68951237,39.5262793,4.213968633,0.277203165,1.959927067,0.241346739,1.256245787,0.262217023,0.843113622,0.115478458,0.694674763,0.096846474,7.000824541,129.7062283
RJ-D16-20,99.90736404,16.18811842,24.9597602,95.84454258,11.66776068,0.670658454,5.455341929,0.573065324,2.32220645,0.40001083,1.13879442,0.1264158,0.733027884,0.105418226,9.977333996,270.0698192
RJ-D1-22,220.2417511,22.60100641,52.0489001,186.3002325,19.88165916,1.060885975,8.710156665,1.199092439,2.841735471,0.672254138,1.207750205,0.173198099,0.577693,0.081600972,13.07241992,530.6703362
RJ-D2-19,259.5365246,30.08734429,65.5701111,240.4278746,26.88813209,1.414193182,11.11323004,1.643217327,4.208488351,0.980396074,1.788566782,0.277775487,0.983836387,0.137034575,16.26908499,661.3258099
RJ-D13-15,229.8133933,61.90370594,59.14452497,218.0792259,25.12589771,1.283669268,10.63988158,1.09809784,4.283133361,0.685497892,1.850662135,0.195269559,1.116217629,0.155604884,15.83740011,631.2121821
RJ-D6-13,55.24054077,25.86081211,16.12674979,59.53691256,6.483918667,0.37160736,2.673329041,0.302392056,1.454601996,0.28467021,0.896063049,0.117231448,0.6958484,0.099370181,7.694479721,177.8385274
RJ-D13-14,200.7755748,50.56652849,51.80760274,185.8196279,22.37991822,1.148732275,9.577531559,1.01724862,3.968215062,0.644746407,1.735389297,0.189367551,1.115701121,0.152517596,15.29645766,546.1951593
RJ-D11-10,43.27555663,137.3391327,23.75528577,37.2015833,131.2706345,14.63045767,0.764039887,5.575323176,0.573900522,2.314591629,0.391959786,1.14998808,0.137828836,0.778253115,10.54108152,409.6996171
RJ-D15-9,183.3636883,27.81890719,47.42242269,167.9109501,19.42218024,0.925126211,7.300208933,0.761993579,3.062504519,0.530149918,1.524315385,0.170707085,1.044152883,0.143641487,12.59409422,473.9950427
RJ-D8-11,128.0685228,43.57510433,33.10402389,118.9531382,14.07076782,0.777254317,5.82531629,0.594618298,2.53075861,0.452861062,1.352490483,0.1590754,0.948169787,0.136481336,12.17081051,362.7193931
RJ-D2-22,376.8245899,32.08972381,93.13160016,351.4145915,39.91961085,2.092699012,16.4416377,2.251391633,5.549439781,1.293363015,2.293540269,0.339903403,1.182650382,0.160915723,20.9860802,945.9717373
RJ-D7-17,265.434971,30.56898442,71.18574749,262.2751816,28.32449649,1.420663828,11.80425408,1.190373733,4.34394907,0.711517055,2.100801026,0.215723764,1.252220852,0.17446539,17.87438538,698.8777352
RJ-D15-17,562.9188057,6.095298469,99.02104667,350.6515406,52.13569986,3.084095073,27.6310067,2.684665602,10.71138344,1.75676066,4.384846123,0.441146039,2.262131815,0.327672787,41.11526546,1165.221365
RJ-D9-19,217.3458852,17.01389845,56.05205246,207.4924718,24.98287039,1.252550721,10.31848911,1.030069649,3.689286456,0.581637653,1.610573936,0.156914379,0.910151593,0.124415368,14.12649652,556.6877637
RJ-D10-21,285.2634694,23.51146297,61.00270946,227.6413502,25.14680109,1.347960608,11.00624625,1.02466091,3.936017645,0.655775173,1.867172896,0.198352955,1.072784929,0.159892786,16.61127907,660.4459363
RJ-D7-18,303.2799163,26.35531832,80.79011909,295.8465655,31.83310617,1.588767539,13.20308424,1.334764941,4.987690993,0.801914405,2.290965053,0.234847425,1.332580997,0.186099813,19.98820868,784.0539495
RJ-D6-15,241.3941297,42.42703599,68.24642219,248.1596735,27.34378162,1.335517744,10.63857463,1.074873821,4.23456057,0.718653057,2.121718457,0.244530113,1.405982044,0.192363957,18.17194949,667.7097669
RJ-D10-23,297.830519,14.20215746,63.01201519,230.2732244,28.62491436,1.569182118,13.30617414,1.277234631,5.060391446,0.851331414,2.224900165,0.234755041,1.267069196,0.188583066,22.18297382,682.1054254
RJ-D15-15,546.3134966,3.751330293,105.088941,373.5843536,51.01050275,2.81322559,24.31979103,2.242428325,8.553858322,1.393573694,3.572663539,0.347115345,1.850968757,0.255899883,30.06059778,1155.158747
RJ-D2-21,450.1945137,43.8896346,114.8138092,425.3945124,48.83054019,2.571030625,19.94144046,2.911890253,7.39637325,1.679960551,3.130232833,0.485958654,1.754099863,0.235372227,27.26547104,1150.49484
RJ-D11-11,38.91324695,270.1874586,32.09141231,72.28246765,255.3129262,29.19179217,1.464442063,11.57142758,1.107885116,4.281474792,0.67137412,1.814625315,0.198085181,1.095394651,17.45859489,737.6426076
RJ-D14-20,198.6139983,286.8015165,32.39636424,72.43100501,263.1399795,31.68436365,1.705253658,12.77816078,1.240398035,4.887168065,0.756851601,2.096446406,0.222632432,1.24922409,19.75411893,929.7574812
RJ-D2-25,591.4449203,13.11101473,132.550739,479.0310029,57.91700779,3.305225522,27.15569029,3.666172749,8.904392827,2.09235063,3.550464768,0.483449416,1.57700424,0.223854636,36.98370889,1361.996999
RJ-D2-27,532.0711854,10.79995632,111.7611229,407.2826334,50.79245721,3.080866197,26.33900849,3.637824491,9.061606246,2.149930322,3.525882358,0.488881696,1.506829694,0.218056293,40.7052453,1203.421486
RJ-D9-22,388.8283452,7.149888332,99.09519112,354.6328737,46.50304981,2.647031909,22.47757538,2.361744373,9.393165389,1.468924069,3.761730236,0.393639505,2.113935742,0.300798379,36.76517502,977.8930682
RJ-D9-20,382.1726626,17.23924972,97.93870303,360.266093,45.85950481,2.38243338,20.26680531,1.978177005,7.382293397,1.133246349,3.040011785,0.297769472,1.709345541,0.237042291,27.95332202,969.8566597
RJ-D13-20,704.4113625,21.97832498,178.8368881,645.0433107,80.36189337,4.012940642,32.56973121,3.230718493,11.30765117,1.772811933,4.680077405,0.446887672,2.53156859,0.344551125,38.79270715,1730.321425
RJ-D13-23,763.5216641,14.6435526,178.435793,615.1839934,82.96949992,4.451002486,36.69155392,3.594451794,13.91974605,2.216632553,5.413021837,0.555116448,3.120677453,0.437284901,50.43321439,1775.587205
RJ-D8-17,409.7071307,10.09447944,93.70077845,336.7529026,49.15316323,2.792347859,21.73500476,2.034948841,7.466370309,1.161008702,3.084510202,0.32413815,1.716756833,0.25048837,28.81482893,968.7888574
RJ-D8-16,597.7234449,31.06517536,135.0841065,472.9819526,66.55962308,3.65811204,27.95906025,2.487491778,9.054972172,1.408533131,3.912545009,0.383329047,2.114034359,0.298385806,34.45733155,1389.148098
RJ-D11-16,194.9660177,351.6597148,3.069313233,75.09404172,272.5185216,36.6088676,2.139973641,17.03154295,1.673648838,6.479796389,1.016778303,2.563631919,0.266500084,1.400644079,26.14046573,992.6294586
RJ-D6-19,663.0570285,15.71987466,164.6168877,609.1025159,73.17367291,3.878680489,30.75058693,2.929704154,10.57282042,1.648762684,4.637392733,0.444184858,2.526166114,0.353195632,39.95998471,1623.371458
RJ-D6-18,543.7921462,20.67631006,141.9360988,539.7639411,61.74616606,3.114481469,24.68905655,2.335907889,8.275116673,1.293919569,3.726080299,0.357661338,1.961346955,0.279975596,31.22970569,1385.177914
